Station Vel_N(mm/yr) Vel_E(mm/yr) Vel_U(mm/yr) Dur_N Dur_E Dur_U Vel_N_midas(mm/yr) Vel_E_midas(mm/yr) Vel_U_midas(mm/yr) Latitude(deg) Longitude(deg) Height(m) diff_N(mm/yr) diff_E(mm/yr) diff_U(mm/yr)
0GIS 13.5 19.0 6.8 10.39 10.39 10.39 13.4 18.9 6.9 60.102 -341.199 31.0 0.1 0.1 -0.1
0GLO 14.5 16.9 10.3 10.39 10.39 10.39 14.5 16.9 10.2 65.261 -340.376 394.5 -0.0 -0.0 0.1
0GMA 15.0 16.6 6.9 10.39 10.39 10.39 15.1 16.6 7.1 59.946 -347.090 149.9 -0.1 0.0 -0.2
0GMO 15.2 15.8 2.3 4.09 5.83 5.83 15.5 16.5 2.6 57.712 -348.016 63.1 -0.3 -0.7 -0.3
0GNA 14.7 17.7 4.2 13.86 13.86 13.86 14.7 18.0 4.0 58.024 -345.539 138.7 0.0 -0.3 0.2
0GRA 14.3 17.3 7.2 18.29 19.80 19.80 14.4 17.4 7.1 60.071 -345.020 357.2 -0.1 -0.1 0.1
0GRI 14.1 18.2 6.3 14.40 14.40 14.40 14.1 18.1 6.3 59.625 -342.749 52.3 0.0 0.1 0.0
0GRN 15.0 15.5 8.1 17.47 17.47 17.47 15.1 15.4 8.2 63.041 -346.032 606.1 -0.1 0.1 -0.1
0GRO 15.4 15.3 6.9 19.49 19.49 19.49 15.4 15.5 6.9 62.060 -347.683 727.0 -0.0 -0.2 -0.0
0GRS 14.8 17.4 4.4 13.53 13.57 13.59 14.8 17.4 4.4 58.331 -347.323 102.6 0.0 -0.0 0.0
0GST 13.9 18.0 10.2 6.05 6.05 6.05 13.8 17.8 10.3 64.149 -339.215 79.3 0.1 0.2 -0.1
0GUL 14.9 17.6 5.8 13.92 13.92 13.92 14.7 17.6 5.8 58.981 -345.890 124.0 0.2 0.0 0.0
0GUM 13.4 17.6 10.9 5.99 5.99 5.99 13.4 17.4 10.8 64.234 -338.981 61.3 -0.0 0.2 0.2
0GUN 14.2 17.1 9.0 19.21 19.21 19.21 14.1 17.1 8.8 66.087 -338.200 75.0 0.1 -0.0 0.2
0GVA 15.7 16.5 6.7 10.08 10.04 16.25 15.5 16.4 7.2 67.137 -339.333 403.8 0.2 0.1 -0.5
0GVG 13.8 18.8 5.7 7.52 7.52 7.52 13.7 18.7 5.8 59.325 -341.610 65.3 0.1 0.1 -0.1
0HAD 14.6 18.3 1.9 8.20 11.81 11.80 14.5 18.4 1.6 56.669 -347.123 59.8 0.1 -0.1 0.3
0HAE 14.8 16.3 8.6 7.13 7.13 7.13 14.7 16.2 8.7 62.388 -344.868 333.9 0.1 0.1 -0.1
0HAF 14.6 17.8 5.7 13.85 13.85 13.85 14.5 17.8 5.6 59.086 -345.347 121.7 0.1 0.0 0.1
0HAG 15.7 16.8 6.2 4.52 5.78 5.78 16.2 16.8 5.6 60.036 -346.297 211.3 -0.5 0.0 0.6
0HAM 15.1 16.5 8.3 18.24 14.50 19.74 15.0 16.5 8.5 61.655 -344.999 493.8 0.1 0.0 -0.2
0HAP 13.6 18.2 9.0 13.77 12.42 19.17 13.7 18.3 9.0 65.828 -335.868 49.0 -0.1 -0.1 0.0
0HAS 14.7 18.2 1.9 26.01 26.01 26.01 14.7 18.3 1.7 56.092 -346.282 114.1 0.0 -0.1 0.2
0HAV 14.7 18.1 1.3 8.42 8.42 8.42 14.6 18.0 1.4 56.729 -347.333 57.8 0.1 0.1 -0.1
0HDA 14.8 16.1 8.3 10.39 10.39 10.39 14.8 16.1 8.3 63.583 -344.648 353.6 -0.0 -0.0 -0.0
0HDG 13.9 18.7 5.5 15.11 15.10 15.11 13.9 18.6 5.5 59.222 -342.066 107.4 0.0 0.1 0.0
0HED 15.1 15.6 7.9 18.02 18.02 18.02 15.1 15.7 7.9 62.419 -346.487 470.2 0.0 -0.1 0.0
0HEM 15.5 14.3 6.7 17.50 17.50 17.50 15.2 14.3 6.7 65.820 -344.919 515.5 0.3 -0.0 0.0
0HEN 14.6 16.7 8.9 10.39 10.39 10.39 14.6 16.7 9.0 62.027 -344.090 254.4 -0.0 0.0 -0.1
0HFS 14.5 17.2 6.6 23.36 23.36 23.35 14.6 17.0 6.6 59.784 -345.480 234.6 -0.1 0.2 -0.0
0HIL 14.6 18.3 2.4 14.31 22.87 22.87 14.6 18.1 2.5 57.317 -346.113 212.5 -0.0 0.2 -0.1
0HIS 15.1 17.2 3.2 9.25 9.25 9.25 15.0 17.3 3.1 57.732 -348.014 63.7 0.1 -0.1 0.1
0HJO 14.5 17.9 4.4 10.66 21.12 21.12 14.4 17.8 4.4 58.301 -345.713 140.3 0.1 0.1 -0.0
0HJV 14.9 18.2 3.6 11.76 11.76 11.76 14.8 18.2 3.5 57.629 -344.657 209.5 0.1 -0.0 0.1
0HLL 14.2 18.2 5.1 13.79 13.79 13.79 14.2 18.1 4.9 58.742 -344.428 94.1 -0.0 0.1 0.2
0HLM 14.0 18.1 10.3 7.48 7.48 7.48 14.0 18.0 10.2 63.807 -339.135 31.1 -0.0 0.1 0.1
0HLO 14.4 18.3 5.5 10.39 10.39 10.39 14.4 18.2 5.5 59.023 -342.456 76.9 0.0 0.1 0.0
0HMS 14.1 19.3 2.6 14.17 14.17 14.17 14.1 19.3 2.3 57.240 -341.618 62.7 0.0 -0.0 0.3
0HNA 14.1 17.9 8.2 9.88 9.88 9.88 14.0 17.9 8.2 60.535 -342.120 42.3 0.1 -0.0 0.0
0HOA 14.7 17.5 3.5 13.06 13.06 13.06 14.8 17.4 3.4 57.968 -347.307 199.0 -0.1 0.1 0.1
0HOB 14.0 19.1 2.3 18.63 19.35 19.35 14.0 19.1 2.1 56.922 -341.849 85.9 0.0 0.0 0.2
0HOJ 14.2 18.7 1.7 11.58 11.58 11.58 14.2 18.6 1.6 56.444 -344.345 141.7 -0.0 0.1 0.1
0HOO 15.1 18.2 1.4 14.61 14.61 14.61 15.1 18.1 1.4 55.933 -346.457 122.6 0.0 0.1 0.0
0HOR 15.0 18.2 7.4 12.24 12.24 12.24 15.0 18.2 7.5 60.290 -343.597 163.4 0.0 0.0 -0.1
0HOS 14.0 17.7 10.1 18.94 18.94 18.94 13.9 17.7 10.3 63.673 -339.611 32.6 0.1 0.0 -0.2
0HOT 15.4 15.3 7.4 12.76 12.80 17.97 15.5 15.2 7.5 63.974 -345.833 361.6 -0.1 0.1 -0.1
0HRN 14.0 17.4 10.4 10.39 10.39 10.39 14.1 17.5 10.2 63.621 -340.090 42.2 -0.1 -0.1 0.2
0HRO 14.5 17.2 5.1 10.63 21.59 18.77 14.5 17.3 4.9 58.749 -346.062 97.8 -0.0 -0.1 0.2
0HSA 14.7 16.9 8.9 18.00 14.51 18.00 14.7 17.0 8.9 62.108 -343.288 181.0 0.0 -0.1 -0.0
0HST 15.6 17.1 2.3 5.35 12.71 12.71 16.2 17.2 2.2 58.350 -348.160 58.9 -0.6 -0.1 0.1
0HSU 13.9 18.3 7.1 10.39 10.39 10.39 14.0 18.0 7.3 60.394 -342.990 109.5 -0.1 0.3 -0.2
0HUD 14.7 17.4 8.6 17.92 14.49 17.92 14.6 17.4 8.5 61.725 -342.860 55.9 0.1 0.0 0.1
0HVI 15.0 17.4 3.2 4.71 5.07 4.73 15.0 17.1 2.9 57.703 -348.263 46.8 -0.0 0.3 0.3
0HYB 14.7 16.7 8.5 15.55 15.80 19.74 14.7 16.8 8.3 61.795 -343.791 175.3 0.0 -0.1 0.2
0IDR 15.4 15.5 7.7 5.35 5.35 5.36 15.2 15.5 7.5 61.858 -347.287 493.3 0.2 -0.0 0.2
0JAK 15.3 15.3 6.9 16.18 16.18 16.18 15.2 15.2 7.1 66.388 -343.034 473.2 0.1 0.1 -0.2
0JAM 14.3 19.2 2.4 10.39 10.39 10.39 14.3 19.1 2.1 56.188 -344.172 62.5 -0.0 0.1 0.3
0JAR 15.3 15.2 7.6 18.02 18.02 18.02 15.2 15.1 7.5 63.353 -346.551 373.9 0.1 0.1 0.1
0JAT 14.6 17.7 9.4 11.77 11.77 11.77 14.5 17.8 9.1 61.975 -342.743 63.5 0.1 -0.1 0.3
0JAV 13.9 17.5 10.0 15.94 19.21 19.21 13.9 17.5 9.7 65.156 -338.514 60.1 0.0 0.0 0.3
0JFA 13.7 18.4 7.2 8.50 8.50 8.50 13.9 18.3 7.0 59.424 -342.166 91.2 -0.2 0.1 0.2
0JNA 13.9 18.6 5.3 10.38 10.38 10.38 14.0 18.5 5.2 58.743 -343.265 62.4 -0.1 0.1 0.1
0JOK 14.7 16.1 8.7 18.22 18.22 18.22 14.6 16.1 8.6 66.605 -340.168 296.6 0.1 0.0 0.1
0JON 14.6 17.8 4.0 22.49 26.66 22.71 14.6 17.9 3.3 57.745 -345.940 260.4 0.0 -0.1 0.7
0JOR 14.7 17.0 10.3 9.46 9.46 9.46 14.6 17.0 9.9 65.056 -339.957 300.9 0.1 -0.0 0.4
0JTP 14.8 17.9 1.3 18.44 18.44 18.44 14.9 17.8 1.3 56.230 -347.324 54.7 -0.1 0.1 -0.0
0JUN 14.7 16.2 9.6 17.97 15.96 17.97 14.6 16.2 9.7 63.695 -343.112 251.0 0.1 -0.0 -0.1
